id,image_path,text,headline,date,label (true = 1 / false = 0)
ID0015,C:\Users\A S U S\Downloads\Health Images\Images\15.png,"The novel Coronavirus has affected all parts of the world with over 3 million contracting the deadly virus as per latest information and accounting for more than two hundred thousand deaths to date. (Source: worldsmeter.info)
Wuhan Bio-safety Laboratory located in Wuhan, where the outbreak of this pandemic started, was one of the most highly talked about topics by international observers as well as social media enthusiasts, ever since the start of the pandemic in China. ", No. Japanese Nobel Laureate Professor Tasuku Honjo did not say Coronavirus was made in Wuhan Lab… Here is the truth…,4/28/2020,0
ID0016,C:\Users\A S U S\Downloads\Health Images\Images\16.png,"University of Oxford researchers had begun testing a COVID-19 vaccine in human volunteers last week. At a time when scientists and health care professionals around the world are working round the clock to fast track a cure or a vaccine for the deadly disease, this project grabbed worldwide attention. 
Dr Elisa Granato, a microbiologist, was one of the members of the first batch of 2 patients to get injected with the vaccine last Thursday (23rd April). They were to be monitored for a period of 48 hours after which another batch were to be injected.
On this backdrop, a number of social media reports were shared across the world with the caption “First volunteer in UK coronavirus vaccine trial has died – News Oxford”. ",FAKE NEWS ALERT: Dr. Elena Granato id Not Dead…,4/27/2020,0
ID0017,C:\Users\A S U S\Downloads\Health Images\Images\17.png,"As the COVID-19 pandemic continues to spread across the globe, audiences are bombarded with all forms of news and information around the virus. The information available varies from news bulletins to opinion pieces and expert analyses on the topic, amidst many other fake news posts. It is only fair that the public try to make sense of the tragic circumstances and several op-eds and analyses have attempted to assist in that direction. Considering the number of fake posts that are also floating around social and digital media, being able to weed out the real opinions can be difficult.",Is There A Pandemic Every Hundred Years As These Viral Posts Claim?,4/23/2020,0
ID0018,C:\Users\A S U S\Downloads\Health Images\Images\18.png,"The COVID-19 pandemic that was first discovered during the latter part of 2019 has reached unimaginable proportions with over 2 million people affected around the world as per the latest reports. With this many people infected and many countries and regions experiencing some form of a lockdown, a sense of panic and fear has engulfed many. Feeding into those very fears, many people have created fake news posts which are available across social media and chat apps similar to authentic news sources. With many people keyed into all information on the pandemic, it has been difficult to decipher between authentic and fake bulletins.",Was This Child Abandoned Because Both His Parents Were Infected With Covid-19? Here's The Truth,4/16/2020,0
ID0019,C:\Users\A S U S\Downloads\Health Images\Images\19.png,"As Covid-19 patients were being detected from different regions of Sri Lanka towards end of March 2020, health officials urged the government to take firm action to combat the spread of the virus. The government acted swiftly by addressing infrastructure issues as well as safety and medical equipment requirements to minimize the spread of the pandemic on the island.
In this background, a post appeared on a Facebook page of one Rajini Sulochana Segera titled “Lanka’s health service among the world’s best” with an image of the Director General of World Health Organization Dr. Tedros Ghereyesus. Following text was superimposed under the image of Dr. Tedros. 
“Sri Lanka’s health service is one of the best not only in Asia but in the world, WHO Director-General Dr. Tedros Adhanom Ghebreyesus said. Dr. Ghebreyesus had stated that the reason behind the high quality of Sri Lanka’s health service is because it is freely available. Sri Lanka’s political leadership gives a clear guidance to the Sri Lankan Health Service.” ",WHO Director General’s Old Statement on SL Health Services shared out of context; Read the truth here…,4/14/2020,0
ID0020,C:\Users\A S U S\Downloads\Health Images\Images\20.png,"The COVID-19 crisis is inflicting unprecedented amount of suffering around the world with nearly 80,000 dead and a total of 1.35 million infected with the virus as on 8th April 2020 according to the WHO dashboard, setup to monitor the global situation. With the number of dead mounting and special requests to cremate all dead bodies who were infected with the deadly virus, the process of disposing of the dead has become taxing on several world governments where the death toll is highest.",No. These are not deceased COVID19 victims washed ashore!,4/9/2020,0
ID0021,C:\Users\A S U S\Downloads\Health Images\Images\21.png,"While the battle against COVID-19 pandemic rages on in many parts of the world, countries have considered partially relaxing lockdown measures. In Sri Lanka, the newly identified COVID-19 patients are mainly from 2 groups, the Sri Lanka Navy and the repatriated citizens. However, no patients have been identified out of these two groups for over a month now.
Hence, the attention has gradually shifted from the pandemic towards politics owing to the parliamentary elections to be held in early August. Given this context, we came across a different kind of claim related to COVID-19 getting viral among Tamil social media users. ",Wedding pre-shoot images of couple shared as COVID19 patient proposing to his doctor,6/13/2020,0
ID0022,C:\Users\A S U S\Downloads\Health Images\Images\22.png,"We recently discovered a series of posts going viral around the same topic across social media, which claimed to be related to a research conducted by the University of Oxford. The claim however seemed unsubstantiated and was in turn made into memes when posting.",Did Oxford University Claim That Women With Big Butts Give Birth To Smarter Children?,7/24/2020,0
ID0023,C:\Users\A S U S\Downloads\Health Images\Images\23.png,"Cannabis is a plant that has uses as a recreational and medicinal drug.  Cannabis plants produce a group of chemicals called cannabinoids, which is considered to have mental and physical effects when consumed. Cannabis has been used as a medicine in Eastern as well as Western medical practices over the years. Yet its use as medicine has not been rigorously tested and as a result the safety and efficacy of using cannabis to treat diseases is still undergoing clinical trials. World Health Organization has listed Cannabis as a drug. Yet since lately active campaigns were observed to legalize the use of cannabis for medicinal purposes.
In this backdrop we noticed a news report by CostaRica News published with the headline “The World Health Organization Removed Cannabis from the “Drug” Category”.  ",WHO has NOT removed cannabis from “Drugs” Category!,7/4/2020,0
ID0024,C:\Users\A S U S\Downloads\Health Images\Images\24.png,"Unknown facts and amazing properties of certain herbs and food items and their medicinal values have often been shared in various posts on social media over the years. 
Recently we noticed a post titled “FOODFACT” on an Instagram account called “Veganfitlyfe” with the caption “Find out the gender of Bell Peppers” which had been circulating since the end of 2019. The post goes on to state that “Flip the bell peppers over to check their gender. The ones with 4 bumps are females and those with three bumps are male. The female peppers are full of feeds, but sweeter and better for eating raw and the males are better for cooking. I didn’t know this” ",Bell Pepper Don’t have a Gender! Here’s the truth,7/3/2020,0
ID0025,C:\Users\A S U S\Downloads\Health Images\Images\25.png,The number of COVID-19 patients identified by the Divulapitiya-Minuwangoda cluster in Gampaha district has now crossed over 1400 mark. Various social media reports have emerged on the prevailing situation in the country. One of the key talking points has been the whereabouts of Minuwangoda garment factory workers and their close associates. ,Coronavirus infected 119 people have not gone missing in Gampaha,10/13/2020,0
ID0026,C:\Users\A S U S\Downloads\Health Images\Images\26.png,"During the first wave of the novel Coronavirus spread in Sri Lanka, health authorities decided that all dead bodies infected with Covid-19 should be cremated. In fact, there has been a lot of talk recently around the topic of burying or cremating Covid-19 infected corpses. While the government has not yet given an official permission for the burial of Covid-19 infected bodies, we recently conducted an investigation in this regard.  ","FACT CHECK – Were the PRC records of a deceased Muslim women from Ratmalana changed, in order to accommodate her burial",11/20/2020,0
ID0027,C:\Users\A S U S\Downloads\Health Images\Images\27.png,"During the initial months of COVID-19 pandemic, a number of false claims were circulated alleging how people from different parts of the world reacted to the deadly virus. Now as some countries are trying out the new vaccines, similar claims on how people are reacting to the vaccines have emerged.
A photo is being shared widely among Tamil Social Media users in SL, and it is being claimed that this is the photo of the first batch of participants who were administered the vaccine. These posts further claim that the participants started eating each other and allegedly from a hospital in Los Angeles.  However, our investigation reveals that this is yet another fabricated hoax.",Do Not Fall for This Hoax of People Turning into Zombies Due to COVID-19 vaccine!,12/29/2020,0
ID0028,C:\Users\A S U S\Downloads\Health Images\Images\28.png,"several posts on social media claims that Microsoft co-founder Bill Gates has said in an interview to CNBC that 7 lakh people will face death or disability after taking the vaccines. This message is going viral in form of articles as well as posts on social media. According to the users, “In an interview with CNBC, Bill Gates says that for every 10,000 people, permanent vaccination damage such as permanent disabilities and death would occur and he expects 700,000 victims.”",Bill Gates did not say that people will die after taking the COVID-19 vaccine,1/25/2021,0
ID0029,C:\Users\A S U S\Downloads\Health Images\Images\29.png,"Amidst the second wave of coronavirus in India, a deluge of online misinformation is causing extra damage to the efforts towards combating the pandemic. 
In a recent addition to such misinformation is a video in which an unidentified man apparently shows how masks are contaminated with germs and worms and warns people not to wear masks",FALSE: Don’t Believe the Video Showing Germs Coming out of Masks ,4/30/2021,0
ID0030,C:\Users\A S U S\Downloads\Health Images\Images\30.png,"Starting from 1 May, everyone above 18 years of age will be eligible for the Covid-19 vaccine in India. But a viral message on social media may put off many from taking the vaccine. 
Cautioning about the potential vaccine complications, the message warns women not to take the vaccine five days before and after their periods.  ",Should Women Not Take Covid-19 Vaccine 5 Days Before and After their Periods? Here’s the truth,4/24/2021,0
ID0031,C:\Users\A S U S\Downloads\Health Images\Images\31.png,"American rapper, songwriter and actor Rapper Earl Simmons, popularly known by his stage name DMX,  died two weeks ago at the age of 50 following a heart attack. Social media was flooded with tribute messages for the legendary rapper.
Also there were a number of posts claiming that DMX received Covid-19 vaccine days before heart attack.   ",Did Rapper DMX receive COVID-19 vaccine days before his deadly heart attack? Here are the facts…,4/24/2021,0
ID0032,C:\Users\A S U S\Downloads\Health Images\Images\32.png,"A viral message propagates a false conspiracy theory suggesting a nexus between Wuhan lab and major global pharmaceutical companies that caused in the Covid-19 pandemic. 
The message ultimately puts forward a convoluted claim that the coronavirus was created in China with the help of vaccine makers with the intension to make profits. ",Coronavirus Conspiracy: No Connection between GlaxoSmithKline and Wuhan Lab,5/14/2021,0
ID0033,C:\Users\A S U S\Downloads\Health Images\Images\33.png,"Amid rising cases of COVID-19 in Sri Lanka, the Technical committee comprising of health officials made a number of decisions on how to proceed with revised public safety guidelines.
In this context, there was a great buzz about the official information issued by Health Promotions Bureau under the Ministry of Health. We noticed that part of a statement made by the director of Health Promotion Bureau to a newspaper had been shared in a misleading manner.
Two people from different families should be wearing masks inside vehicles.  ","Two people from different families should be wearing masks inside vehicles, not from the same family!",5/12/2021,1
ID0034,C:\Users\A S U S\Downloads\Health Images\Images\34.png,"Social media is replete with various unscientific and clearly bogus cures of coronavirus. A case in point is steam and a decoction of Neem leaves and Ginger that is going viral as a cure for coronavirus. 
In a video shared on social media, a woman claims that she was cured of Covid-19 by only having a decoction and steam of Neem leaves and Ginger.
This is a false claim. Neem leaves and Ginger cannot cure Coronavirus.  ","No, Neem Leaves and Ginger Steam Cannot Cure Coronavirus",5/6/2021,0
ID0035,C:\Users\A S U S\Downloads\Health Images\Images\35.png,"At a time where only a small percentage of total population has been vaccinated against COVID-19 in Sri Lanka, a viral WhatsApp forward which claimed the life threatening risk of anesthetics after vaccination, has caused further agitation in the community.
Fact Crescendo Sri Lanka’s investigation into this viral claim proved this was yet another claim which was infusing fear among the society which could even increase the hesitancy to get vaccinated. ",Fact Check: Is it life threatening to use anesthetics after getting vaccinated for COVID-19? Here are the facts…,6/21/2021,0
ID0036,C:\Users\A S U S\Downloads\Health Images\Images\36.png,"With the second wave of Covid-19 creating havoc in the country, social media is flooded with unverified and unscientific home remedies. 
In one such viral message, it is being claimed that to increase the oxygen level one should inhale camphor, clove, ajwain and eucalyptus oil.  ","Does inhaling camphor, clove, ajwain and eucalyptus oil help increase the oxygen level?",8/28/2021,0
ID0037,C:\Users\A S U S\Downloads\Health Images\Images\37.png,"Covid 19 virus has been spreading rapidly over the past few weeks in Sri Lanka. The number of infected people as well as the number of deaths are increasing daily. Due to this intensifying situation in the country, the management of covid19 infected death bodies has become a challenge to the country`s health authorities. ",FACT CHECK: Image from Oddamavadi graveyard in Sri Lanka? Find out the Truth…,8/16/2021,0
ID0038,C:\Users\A S U S\Downloads\Health Images\Images\38.png,"Amid the COVID-19 pandemic, many other seasonal diseases have also created health risks in different parts of the country. Dengue fever is one of the most prominent diseases among these.
Over the past few weeks, there has been an increased number of Dengue patients reported from many parts of Sri Lanka, with Gampaha and Colombo recording the highest numbers. The total number so far in 2023 is over thirty-four thousand by mid of May. With such record numbers, health units warn that there is a risk of a dengue epidemic in the future, and multiple Dengue control programs are implemented continuously throughout the island.
In this context, government and health officials share many messages regarding precautions to be undertaken by individuals and societies to prevent Dengue. Also, there are social media posts advising people on precautions to be taken to avoid Dengue. One such recurring post that caught our attention is spreading widely on WhatsApp and other social media platforms. This message claims that applying Coconut oil on your legs below your knee would protect you from Mosquito bites and thus from contracting Dengue.",FACT CHECK: Applying Coconut Oil on your Legs and Feet Will NOT Protect You from Dengue! ,9/20/2021,0
ID0039,C:\Users\A S U S\Downloads\Health Images\Images\39.png,"In the battle against deadly COVID-19 pandemic, health experts continuously stress upon the importance of getting vaccinated and creating herd immunity. However, many types of drugs have been discussed at the same time, among public and on social media, as measures to treat the deadly COVID19 virus at various stages of infection. 
This is our investigation in relation to one of such medicines, IVERMECTIN, which is allegedly claimed as a ‘wonder drug’ and a cure for COVID-19.",Explainer: Ivermectin as a Cure for COVID-19? Find out the Facts…,9/2/2021,0
ID0040,C:\Users\A S U S\Downloads\Health Images\Images\40.png,"As new variants of COVID19 continue to challenge nations around the world, the vaccination drive against this deadly virus, which began around a year ago, continues to be a much-discussed topic as well. While WHO has approved a number of vaccines with two doses, with the evolving nature of the virus, some experts have highlighted the importance of having a third dose or booster dose of vaccination.
As some countries of the world, along with Sri Lanka, have started administering the booster dose, misinformation concerning the same has also started spreading. This is our investigation regarding such a misleading claim about the booster shot of Pfizer vaccine. ",FACT CHECK: Did FDA reject the Pfizer booster shot for ages 16-65 over increased risk of heart inflammation? Find out the Truth…,11/30/2021,0
ID0041,C:\Users\A S U S\Downloads\Health Images\Images\41.png,"Due to covid 19 pandemic, health care workers have been facing a crisis situation worldwide. Many got infected with covid 19 while some lost their lives due to the pandemic. In main stream media as well as social media, people are talking about the dedication of health care workers during this difficult time.",FACT CHECK: Does the artwork depict all medical workers died of Covid-19?,11/20/2021,0
ID0042,C:\Users\A S U S\Downloads\Health Images\Images\42.png,"A viral message listing the harmful effects of Microwave oven is going viral on messaging platforms. The message claims that because of its harmful effects, the use and production of  Microwaves has been banned in Japan. ",FACT CHECK: Has Japan banned the use and shut down the production of microwaves? Find out the Truth,11/8/2021,0
ID0043,C:\Users\A S U S\Downloads\Health Images\Images\43.png,A passage being shared widely on Social Media platforms claims that McDonald’s burgers are unfit for human consumption. The message attributes the statement who Celebrity chef Jamie Oliver who has reportedly proved that the food they sell is not fit to be ingested as it is highly toxic due to the use of bacteria-killing ammonium hydroxide to “wash” the meat. ,Outdated message claims Celebrity Chef has proven that McDonald’s Burgers are toxic,12/21/2021,0
ID0044,C:\Users\A S U S\Downloads\Health Images\Images\44.png,"Chronic Kidney Disease of Unknown Etiology (CKDu) has been a major concern in Sri Lanka, especially in the North Central Province as well as some other parts of the dry zone, claiming lives of hundreds of locals over the past few decades. Many researches conducted so far in the country to find out actual causes for CKDu, has not been able to reach a common conclusion or consensus regarding the CKDu. Meanwhile, President Gotabaya Rajapaksa tweeted that chemical fertilizers were contributing a lot to the CKDu. We fact checked this claim to find out what factors can be held responsible for CKDu and how much the use of chemical fertilizers has to do with it. ",Are Chemical Fertilizer Significantly Contributing to the CKDu in Sri Lanka?,12/8/2021,0
ID0045,C:\Users\A S U S\Downloads\Health Images\Images\45.png,"The Omicron variant of coronavirus is spreading fast with massive spikes in daily cases in various nations. World Health Organization has even warned that half of Europe to be infected with Omicron within the next six to eight weeks.
In India alone, 268,833 new Covid-19 cases and 402 deaths in the last 24 hours were reported. There are now 6041 Omicron cases in the country till Saturday morning.
Amidst this new wave of the Covid-19 infections, a news report is making rounds on social media claiming that Europe is considering relaxing mask and vaccine mandates and treating Covid-19 as ‘flu’.
Users have been sharing the link and the screenshot of the news article by Orissa Post titled: “No more Mask and Vaccine Mandate: Europe starts considering covid-19 as flu asks people to live with it” (Archived). ",EXPLAINER: Has Europe Proposed To Relax Mask And Vaccine Mandate? ,1/17/2022,0
ID0046,C:\Users\A S U S\Downloads\Health Images\Images\46.png,"Anyone who has been following the latest developments in managing Covid-19, has surely come across the term self-testing kits or Rapid at-home Antigen testing kits recently. If someone has been experiencing symptoms or has just been to a Covid-19 hotspot, rapid at-home antigen testing kits are very good way to check if they should be worried. These tests are different from the RT-PCR tests and there are some posts on social media that claim the self-testing kits aren’t reliable enough and are likely to give mostly False results. ",EXPLAINER: How accurate are Rapid Antigen Tests or Self-Tests in detecting Covid-19?,1/15/2022,1
ID0047,C:\Users\A S U S\Downloads\Health Images\Images\47.png,"A video allegedly showing a rice mill where plastic sheets converted to create artificial plastic rice is circulating on social media. The users sharing the video claim that the video shows a plastic rice-producing factory. We can see a man putting plastic sheets from one end of the machine, which turns these sheets to small plastic pellets shaped like rice grains. The text burnt inside the video mentions “Making of plastic rice, be careful before you buy rice”. ",Video of manufacturing process of plastic granules shared as production of plastic rice. ,2/7/2022,0
ID0048,C:\Users\A S U S\Downloads\Health Images\Images\48.png,"Chinese researchers have said that they have found a type of coronavirus that spreads among bats in South Africa. It is called NeoCov. 
With the emergence of their findings, News articles mentioned NeoCov as the new deadly variant of Coronavirus which causes Covid-19 disease. 
Users have been claiming NeoCov is going to be the next threat after Omicron wreaked havoc. Some even claimed that World Health Organization (WHO) had issued a warning that if NeoCov spreads, three people may die each day. ",Explainer: Is NeoCov A New variant of Coronavirus like Omicron?,2/3/2022,0
ID0049,C:\Users\A S U S\Downloads\Health Images\Images\49.png,"COVID19 pandemic continues to have a great impact among communities around the world, amounting to over 5 million deaths over the past 2 year period. Despite best efforts of the health officials in promoting vaccination drives, emergence of new virus variants have made the task of minimizing the spread of virus even more difficult as well.  
In this scenario we noticed a viral claim on social media claiming that certain countries had relaxed all health guidelines, treating COVID19 as another seasonal flu. However, our investigation proves this is yet another hoax. ",Ten countries have removed all Covid19 precautions? Germany found gargling with hot water eradicates Covid19? Find out the truth!!,2/1/2022,0
ID0050,C:\Users\A S U S\Downloads\Health Images\Images\50.png,"Sri Lanka is facing a very difficult time due to an intensifying economic and political crisis. Limited supply of essential items, daily power outages and long queues for fuel and gas are common sights around the country, which has resulted in island wide public protests against the ruling regime.","Is Water in Colombo not suitable for Consumption, due to Chlorine shortage and Purification issues? Find out the Facts… ",4/14/2022,0
ID0051,C:\Users\A S U S\Downloads\Health Images\Images\51.png,"A short video clip shared was widely shared among social media users in Sri Lanka, claiming to be a food parcel containing a ‘rat’s head’. However, our investigation found out the hotel had actually served rabbit meat during this incident. ",Rat’s Head Served in A Food Parcel from Hotel NIZAMIYA in Colombo? Find out the Truth…,5/31/2022,0
ID0052,C:\Users\A S U S\Downloads\Health Images\Images\52.png,"With the first case of Monkeypox reported in India, the alarm bells have been started to ring. A 35-year-old man from Kerala returned from the United Arab Emirates (UAE) three days ago where he contracted the disease.
The Monkeypox outbreak began in May when suspected cases were reported in Europe. Around 60 countries have reported outbreaks of the disease. The world has seen 12,556 cases so far. The UK and the US both have more than 1,800 confirmed cases each. 
Now, with the first case in India, Monkeypox has entered in the WHO South-East Asia Region for the first time this year. The health department and experts are warning people to take precautions so as not to have it turn into a widespread outbreak. 
In order to manage the outbreak, World Health Organization (WHO) recommended that countries with infections identify all Monkeypox cases and contacts.
With the information available at World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC), UK Health Security Agency, and India’s Health Ministry, we have created this explainer on Monkeypox. ",EXPLAINER: What Is Monkeypox And How It Spreads?,7/25/2022,1
ID0053,C:\Users\A S U S\Downloads\Health Images\Images\53.png,"International pop star Justin Bieber informed his fans about a rare medical condition he was diagnosed with; known as Ramsay Hunt syndrome. He explained that due to this disease, he was unable to move one side of his face and said this was the reason why he cancelled some concerts.
After this, a viral post on social media, claims that Justin Bieber has blamed the Covid-19 vaccines for his medical condition and the reason for his partial paralysis. Users are sharing a news report by the Vancouver Times who reported that Bieber plans to sue Pfizer for causing paralysis.
The caption of the post states, “Justin Bieber now admits that he regrets taking the Covid-19 vaccine, saying that it left him with permanent paralysis in his face. Bieber reportedly plans on suing Pfizer for causing his paralysis, despite the fact the company is shielded from liability.” ",Justin Bieber did not blame Covid-19 vaccine for his facial paralysis. ,7/16/2022,0
